hotel_id,city,platform,n_reviews,avg_score,pct_asian,pct_nationality_known,pct_couple,pct_solo,pct_family,pct_business,avg_stay_nights,score_std
4season_bali_atSayan,Bali,Agoda,85,9.0,69.4,100.0,51.8,11.8,24.7,7.1,2.2,1.43
4season_bali_atSayan,Bali,Booking.com,100,9.48,9.0,100.0,39.0,8.0,47.0,0.0,3.3,1.31
st_regis_bali_resort,Bali,Agoda,100,9.39,79.0,100.0,54.0,7.0,34.0,4.0,2.3,1.04
st_regis_bali_resort,Bali,Booking.com,100,9.71,15.0,100.0,52.0,4.0,40.0,0.0,4.0,0.7
alila_villas_uluwatu,Bali,Agoda,100,9.13,56.6,99.0,71.0,7.0,15.0,1.0,2.2,1.26
alila_villas_uluwatu,Bali,Booking.com,100,9.24,12.0,100.0,65.0,11.0,22.0,0.0,2.7,1.83
marina_bay_sands,Singapore,Agoda,100,9.68,62.0,100.0,46.0,5.0,35.0,0.0,1.4,0.59
marina_bay_sands,Singapore,Booking.com,100,9.58,9.0,100.0,49.0,30.0,10.0,0.0,2.4,1.05
raffles_singapore,Singapore,Agoda,100,9.4,55.0,100.0,60.0,11.0,14.0,9.0,1.8,1.15
raffles_singapore,Singapore,Booking.com,100,9.81,7.0,100.0,63.0,12.0,18.0,0.0,2.2,0.56
mandarin_oriental_singapore,Singapore,Agoda,100,9.31,80.0,100.0,31.0,12.0,43.0,3.0,2.0,1.24
mandarin_oriental_singapore,Singapore,Booking.com,100,8.91,16.0,100.0,47.0,16.0,28.0,0.0,2.9,2.03
Park_Hayatt,Tokyo,Agoda,100,9.01,47.0,100.0,47.0,17.0,14.0,13.0,2.2,1.18
Park_Hayatt,Tokyo,Booking.com,100,9.23,12.0,100.0,38.0,7.0,49.0,0.0,2.7,1.41
mandarin_oriental_tokyo,Tokyo,Agoda,43,9.02,58.1,100.0,65.1,14.0,11.6,7.0,2.1,1.73
mandarin_oriental_tokyo,Tokyo,Booking.com,100,8.83,23.0,100.0,54.0,14.0,24.0,0.0,3.0,1.97
the_peninsula,Tokyo,Agoda,100,9.35,67.0,100.0,49.0,10.0,30.0,7.0,2.4,1.03
the_peninsula,Tokyo,Booking.com,100,9.11,22.0,100.0,45.0,7.0,41.0,0.0,3.5,1.35
ritz_carlton,Tokyo,Agoda,96,8.99,77.1,100.0,33.3,12.5,28.1,17.7,2.2,1.47
ritz_carlton,Tokyo,Booking.com,27,8.96,44.4,100.0,37.0,11.1,44.4,0.0,3.2,1.13
